martet_no,market,product_no,product,max_price,middle_price,min_price,average_price,volume,avg_temp(℃),max_temp(℃),min_temp(℃),avg_wind(m/s),max_wind(m/s),rain(mm),rain_time(hr),rain_time_max(mm/hr),sun_time(hr),sun(MJ/㎡),datetime
220,板橋區,FA1,黃秋葵,78.0,78.0,65.5,75.5,291,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FB11,花椰菜 青梗 留梗柄,38.0,33.9,8.9,29.7,2159,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FB21,花椰菜 白梗 留梗柄,38.0,38.0,38.0,38.0,56,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FC1,胡瓜 黑刺,23.0,21.8,11.0,19.9,1827,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FD1,花胡瓜,39.0,38.7,32.3,37.5,1558,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FE1,冬瓜 白皮,5.7,5.0,4.9,5.1,8980,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FF1,絲瓜,20.0,13.9,8.4,14.0,5209,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FF2,絲瓜 角瓜,10.0,10.0,10.0,10.0,170,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FF4,絲瓜 長絲瓜,20.0,20.0,20.0,20.0,57,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FG1,苦瓜 白大米,35.0,32.7,17.8,30.2,1272,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FG2,苦瓜 青大米,23.8,18.8,18.0,19.7,596,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FG4,苦瓜 翠綠,60.0,41.8,20.0,41.1,38,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FH1,扁蒲 長形,11.0,10.3,8.0,10.0,313,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FH3,扁蒲 花蒲,11.0,10.7,10.0,10.6,305,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FH4,扁蒲 梨子蒲,12.0,11.5,8.8,11.1,1273,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FI1,茄子 胭脂茄,27.0,26.2,17.0,24.5,1265,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FI2,茄子 麻荸茄,27.0,21.1,15.0,21.0,733,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FJ1,番茄 黑柿,13.0,13.0,8.0,12.0,176,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FJ2,番茄 粉柿,15.0,15.0,15.0,15.0,228,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FJ3,番茄 牛蕃茄,13.0,11.1,5.9,10.4,6784,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FK4,甜椒 彩色種,39.5,36.7,18.0,33.5,1197,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FK5,甜椒 青椒,22.3,14.9,10.7,15.6,1690,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FL2,豌豆 紅花,88.0,88.0,88.0,88.0,100,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FL6,豌豆 甜豌豆,96.0,93.5,75.0,90.3,220,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FM2,菜豆 青色,46.0,46.0,46.0,46.0,240,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FN1,敏豆 白豆,70.0,66.8,36.5,61.4,952,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FN5,敏豆 醜豆,53.0,53.0,34.6,49.3,125,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FP1,萊豆 豆莢,68.0,59.9,50.0,59.5,217,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FQ1,毛豆 豆莢,63.0,63.0,63.0,63.0,30,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FQ2,毛豆 豆仁,80.0,80.0,80.0,80.0,15,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FR1,青花苔,50.4,42.3,26.2,40.7,2366,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FT1,南瓜 木瓜形,11.3,10.6,9.0,10.4,1361,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FT2,南瓜 圓形,12.0,11.6,10.0,11.3,60,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FT7,南瓜 粟子,46.0,46.0,46.0,46.0,80,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FU2,隼人瓜 瓜苗,36.0,34.8,20.7,32.2,186,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FV1,辣椒 紅小,24.1,18.8,9.7,18.0,485,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FV4,辣椒 朝天椒,32.0,29.2,20.0,27.9,71,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FV5,辣椒 青龍,10.0,10.0,10.0,10.0,19,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FY1,玉米 白玉米,18.0,18.0,18.0,18.0,780,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FY3,玉米 超甜白,25.0,25.0,17.1,23.4,340,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FY4,玉米 玉米筍,34.1,25.0,23.9,26.6,230,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FY6,玉米 甜軟殼,22.4,20.4,10.0,18.7,2424,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FY7,玉米 糯米白,7.0,7.0,7.0,7.0,1500,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FY9,玉米 進口,100.0,100.0,100.0,100.0,24,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,FZ1,落花生 生,80.0,80.0,80.0,80.0,270,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LA1,甘藍 初秋,7.1,6.3,2.9,5.8,40650,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LA2,甘藍 改良種,7.0,2.6,2.0,3.4,9030,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LA6,甘藍 甘藍芽,28.0,28.0,28.0,28.0,36,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LB0,小白菜 其他,12.0,12.0,12.0,12.0,38,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LB12,小白菜 土白菜 未洗,10.0,5.6,4.0,6.2,2765,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LB22,小白菜 蚵仔白 未洗,9.9,6.6,5.6,7.1,2329,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LC1,包心白 包白,9.5,6.8,6.0,7.2,6815,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LC3,包心白 包頭蓮,7.3,5.5,5.5,5.9,945,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LD1,青江白菜 小梗,12.5,6.3,4.0,7.1,3558,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LF2,蕹菜 小葉,30.0,26.6,14.4,24.8,575,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LG1,芹菜 青梗,37.0,37.0,37.0,37.0,80,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LG2,芹菜 白梗,37.0,27.8,13.3,26.8,1526,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LG3,芹菜 西洋芹菜,18.2,12.8,10.0,13.3,923,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LG5,芹菜 芹菜管,52.0,41.3,20.3,39.2,54,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LH1,菠菜 圓葉,20.9,14.0,8.6,14.3,2158,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LH2,菠菜 角葉,21.0,21.0,21.0,21.0,849,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LI1,萵苣菜 廣東菜,9.0,9.0,9.0,9.0,100,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LI2,萵苣菜 結球萵,12.7,12.0,10.5,11.9,820,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LI3,萵苣菜 本島圓葉,19.5,10.3,5.0,11.1,583,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LI4,萵苣菜 本島尖葉,19.0,10.9,7.6,11.9,670,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LI5,萵苣菜 油麥菜,13.0,7.3,3.9,7.8,3355,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LI6,萵苣菜 蘿美,26.0,26.0,26.0,26.0,151,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LJ1,芥菜 芥菜仁,29.0,26.2,15.9,24.7,287,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
220,板橋區,LJ3,芥菜 大芥菜,13.0,10.2,6.0,9.9,465,23.9541666666667,28.6,20.7,1.1625,6.9,0.0,0.8,0.0,3.1,10.99,2017-04-07
