martet_no,market,product_no,product,max_price,middle_price,min_price,average_price,volume,avg_temp(℃),max_temp(℃),min_temp(℃),avg_wind(m/s),max_wind(m/s),rain(mm),rain_time(hr),rain_time_max(mm/hr),sun_time(hr),sun(MJ/㎡),datetime
420,豐原區,FC1,胡瓜 黑刺,15.7,13.6,12.0,13.7,2040,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FF1,絲瓜,20.0,20.0,20.0,20.0,60,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FG1,苦瓜 白大米,29.0,25.9,23.0,25.9,820,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FH0,扁蒲 其他,9.0,9.0,9.0,9.0,240,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FI1,茄子 胭脂茄,16.0,16.0,16.0,16.0,100,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FI2,茄子 麻荸茄,20.0,20.0,20.0,20.0,100,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FJ1,番茄 黑柿,20.0,20.0,20.0,20.0,225,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FK4,甜椒 彩色種,30.0,30.0,30.0,30.0,200,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FM2,菜豆 青色,30.0,30.0,30.0,30.0,20,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FT1,南瓜 木瓜形,12.0,12.0,12.0,12.0,225,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FV0,辣椒 其他,15.0,15.0,15.0,15.0,40,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FV1,辣椒 紅小,18.0,18.0,18.0,18.0,368,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FY6,玉米 甜軟殼,12.0,10.8,9.0,10.7,540,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FZ2,落花生 熟,75.0,61.7,50.0,62.0,632,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LA1,甘藍 初秋,10.1,8.2,6.0,8.1,17920,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LB1,小白菜 土白菜,11.0,11.0,11.0,11.0,500,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LB2,小白菜 蚵仔白,9.0,7.6,7.0,7.8,1300,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LC1,包心白 包白,6.0,5.3,5.0,5.4,4300,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LD1,青江白菜 小梗,17.0,13.4,9.4,13.3,4500,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LF2,蕹菜 小葉,19.6,15.3,13.4,15.8,3350,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LG2,芹菜 白梗,26.0,20.7,19.1,21.5,1100,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LH1,菠菜 圓葉,20.0,16.3,14.0,16.6,1000,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LI4,萵苣菜 本島尖葉,21.0,20.6,20.0,20.6,2000,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LI5,萵苣菜 油麥菜,15.0,14.4,12.1,14.0,2300,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LJ1,芥菜 芥菜仁,34.0,34.0,34.0,34.0,990,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LJ3,芥菜 大芥菜,7.0,7.0,6.0,6.8,1400,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LK2,芥藍菜,16.0,12.0,10.0,12.4,500,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LL1,茼蒿,25.0,25.0,25.0,25.0,300,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LM2,莧菜 白莧菜,27.0,25.8,25.0,25.9,700,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LN1,油菜,11.0,10.1,9.0,10.0,2700,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,LP2,九層塔,23.0,23.0,23.0,23.0,30,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,SA3,蘿蔔 矸仔,5.0,5.0,4.2,4.8,3910,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,SB2,胡蘿蔔 清洗,21.7,18.0,17.0,18.6,1700,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,SE6,青蔥 粉蔥,77.9,71.0,65.0,71.2,2622,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,SF1,韭菜 白頭,28.2,25.0,25.0,25.7,1550,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,SF2,韭菜 韭菜黃,55.0,55.0,55.0,55.0,50,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,SG2,大蒜 軟梗,66.0,66.0,66.0,66.0,270,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,SG5,大蒜 蒜頭,74.2,70.0,70.0,70.8,504,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,SJ2,芋 檳榔心芋,53.3,49.0,45.0,49.1,1140,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,SP1,薑 老薑,31.0,31.0,30.0,30.8,711,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,SQ1,茭白筍 帶殼,45.0,45.0,45.0,45.0,200,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,SW1,球莖甘藍,8.0,8.0,6.0,7.6,1500,18.5625,24.1,14.0,1.1375,7.3,0.0,0.0,0.0,9.5,12.19,2016-01-01
420,豐原區,FC1,胡瓜 黑刺,11.0,11.0,11.0,11.0,1820,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,FD1,花胡瓜,16.0,15.1,12.0,14.7,600,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,FF1,絲瓜,20.0,20.0,20.0,20.0,100,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,FG1,苦瓜 白大米,16.0,16.0,16.0,16.0,240,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,FH0,扁蒲 其他,5.0,5.0,5.0,5.0,800,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,FI1,茄子 胭脂茄,14.0,14.0,14.0,14.0,500,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,FJ0,番茄 其他,11.0,11.0,11.0,11.0,60,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,FK4,甜椒 彩色種,16.0,16.0,16.0,16.0,320,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,FM2,菜豆 青色,45.0,45.0,45.0,45.0,60,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,FR1,青花苔,20.0,20.0,20.0,20.0,450,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,FV0,辣椒 其他,15.0,15.0,15.0,15.0,40,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,FV1,辣椒 紅小,25.0,22.1,20.0,22.2,695,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,FZ2,落花生 熟,75.0,51.2,50.0,55.7,1332,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,LA1,甘藍 初秋,6.6,6.0,5.0,5.9,16950,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,LB2,小白菜 蚵仔白,9.6,7.0,7.0,7.5,1700,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,LC1,包心白 包白,6.2,5.1,4.1,5.1,8150,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,LF2,蕹菜 小葉,12.0,12.0,12.0,12.0,400,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,LG2,芹菜 白梗,21.0,15.4,10.3,15.5,2900,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,LH1,菠菜 圓葉,19.1,14.2,11.8,14.7,2460,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,LI4,萵苣菜 本島尖葉,18.0,17.7,15.3,17.3,2900,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,LI5,萵苣菜 油麥菜,14.0,11.5,11.0,11.9,1000,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
420,豐原區,LJ1,芥菜 芥菜仁,30.0,30.0,30.0,30.0,580,19.5833333333333,22.5,15.6,0.741666666666667,4.5,0.2,0.9,0.2,2.6,6.76,2016-01-02
