martet_no,market,product_no,product,max_price,middle_price,min_price,average_price,volume,avg_temp(℃),max_temp(℃),min_temp(℃),avg_wind(m/s),max_wind(m/s),rain(mm),rain_time(hr),rain_time_max(mm/hr),sun_time(hr),sun(MJ/㎡),datetime
540,南投市,FB2,花椰菜 白梗,20.0,17.0,15.0,16.6,1150,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,FC1,胡瓜 黑刺,21.0,17.0,7.0,16.5,360,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,FD1,花胡瓜,35.0,29.0,14.0,28.9,126,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,FI2,茄子 麻荸茄,25.0,15.0,3.5,14.6,276,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,FK5,甜椒 青椒,30.0,19.0,7.0,18.8,517,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,LA1,甘藍 初秋,18.0,9.0,6.0,8.1,3584,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,LB11,小白菜 土白菜 洗,16.0,11.0,4.5,10.7,653,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,LC1,包心白 包白,16.0,11.0,6.0,10.6,393,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,LG1,芹菜 青梗,50.0,33.0,20.0,32.6,173,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,LH2,菠菜 角葉,40.0,29.0,22.0,28.7,286,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,OX1,其他,80.0,24.0,3.0,22.5,3089,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,SA3,蘿蔔 矸仔,7.5,5.0,1.0,4.9,1885,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,SE1,青蔥 日蔥,41.0,33.0,16.0,32.3,188,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,SG1,大蒜 硬梗,70.0,65.0,45.0,64.4,138,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,SQ3,茭白筍 去殼,180.0,125.0,84.0,125.2,77,14.6375,20.0,10.8,0.958333333333333,5.0,0.0,0.0,0.0,9.7,15.48,2014-01-01
540,南投市,FB2,花椰菜 白梗,18.0,17.0,13.0,16.3,1159,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,FC1,胡瓜 黑刺,21.0,16.0,6.0,15.2,445,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,FD1,花胡瓜,36.0,29.0,12.0,28.5,158,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,FK5,甜椒 青椒,12.0,10.0,6.0,9.1,114,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,FL1,豌豆 白花,61.0,55.0,25.0,54.2,68,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,FN1,敏豆 白豆,60.0,47.0,26.0,46.0,55,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,LA1,甘藍 初秋,14.0,7.0,4.0,6.9,2408,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,LB11,小白菜 土白菜 洗,13.0,11.0,6.0,10.6,412,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,LC1,包心白 包白,13.0,10.0,7.0,9.3,738,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,LG1,芹菜 青梗,50.0,32.0,12.0,31.2,180,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,LH2,菠菜 角葉,35.0,26.0,10.0,25.1,249,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,LJ3,芥菜 大芥菜,10.0,9.0,8.0,8.4,180,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,OX1,其他,120.0,23.0,3.5,21.4,3253,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,SA3,蘿蔔 矸仔,6.5,6.0,1.5,5.1,1807,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,SE1,青蔥 日蔥,40.0,32.0,16.0,31.7,185,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,SG1,大蒜 硬梗,70.0,50.0,36.0,49.8,168,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
540,南投市,SQ3,茭白筍 去殼,180.0,131.0,85.0,130.4,61,16.2666666666667,21.2,12.2,1.23333333333333,4.9,0.0,0.0,0.0,9.7,15.47,2014-01-02
