martet_no,market,product_no,product,max_price,middle_price,min_price,average_price,volume,avg_temp(℃),max_temp(℃),min_temp(℃),avg_wind(m/s),max_wind(m/s),rain(mm),rain_time(hr),rain_time_max(mm/hr),sun_time(hr),sun(MJ/㎡),datetime
512,永靖鄉,FB1,花椰菜 青梗,25.0,19.0,10.0,18.8,5525,17.0916666666667,24.2,11.3,0.545833333333333,5.7,0.0,0.0,0.0,9.6,15.03,2014-01-01
512,永靖鄉,FC2,胡瓜 改良種,22.0,14.0,12.0,14.2,2560,17.0916666666667,24.2,11.3,0.545833333333333,5.7,0.0,0.0,0.0,9.6,15.03,2014-01-01
512,永靖鄉,FI2,茄子 麻荸茄,42.0,42.0,42.0,42.0,489,17.0916666666667,24.2,11.3,0.545833333333333,5.7,0.0,0.0,0.0,9.6,15.03,2014-01-01
512,永靖鄉,FT1,南瓜 木瓜形,17.0,17.0,17.0,17.0,286,17.0916666666667,24.2,11.3,0.545833333333333,5.7,0.0,0.0,0.0,9.6,15.03,2014-01-01
512,永靖鄉,LA1,甘藍 初秋,11.0,9.0,4.0,8.6,25327,17.0916666666667,24.2,11.3,0.545833333333333,5.7,0.0,0.0,0.0,9.6,15.03,2014-01-01
512,永靖鄉,LC1,包心白 包白,15.0,11.0,7.0,10.8,39406,17.0916666666667,24.2,11.3,0.545833333333333,5.7,0.0,0.0,0.0,9.6,15.03,2014-01-01
512,永靖鄉,LG1,芹菜 青梗,40.0,40.0,40.0,40.0,2775,17.0916666666667,24.2,11.3,0.545833333333333,5.7,0.0,0.0,0.0,9.6,15.03,2014-01-01
512,永靖鄉,SF3,韭菜 韭菜花,75.0,75.0,75.0,75.0,7,17.0916666666667,24.2,11.3,0.545833333333333,5.7,0.0,0.0,0.0,9.6,15.03,2014-01-01
512,永靖鄉,SS1,大心菜 帶葉,24.0,17.0,8.0,16.8,11911,17.0916666666667,24.2,11.3,0.545833333333333,5.7,0.0,0.0,0.0,9.6,15.03,2014-01-01
512,永靖鄉,FB1,花椰菜 青梗,24.0,18.0,11.0,17.5,6860,19.2625,25.9,13.2,0.658333333333333,4.6,0.0,0.0,0.0,9.7,14.92,2014-01-02
512,永靖鄉,FC2,胡瓜 改良種,21.0,14.0,11.0,14.3,2614,19.2625,25.9,13.2,0.658333333333333,4.6,0.0,0.0,0.0,9.7,14.92,2014-01-02
512,永靖鄉,FG2,苦瓜 青大米,34.0,25.0,19.0,25.0,1581,19.2625,25.9,13.2,0.658333333333333,4.6,0.0,0.0,0.0,9.7,14.92,2014-01-02
512,永靖鄉,LA1,甘藍 初秋,11.0,8.0,4.0,8.3,24361,19.2625,25.9,13.2,0.658333333333333,4.6,0.0,0.0,0.0,9.7,14.92,2014-01-02
512,永靖鄉,LC1,包心白 包白,14.0,11.0,6.0,10.5,36501,19.2625,25.9,13.2,0.658333333333333,4.6,0.0,0.0,0.0,9.7,14.92,2014-01-02
512,永靖鄉,LF1,蕹菜 大葉,22.0,16.0,12.0,16.0,1146,19.2625,25.9,13.2,0.658333333333333,4.6,0.0,0.0,0.0,9.7,14.92,2014-01-02
512,永靖鄉,SF3,韭菜 韭菜花,70.0,70.0,70.0,70.0,7,19.2625,25.9,13.2,0.658333333333333,4.6,0.0,0.0,0.0,9.7,14.92,2014-01-02
512,永靖鄉,SS1,大心菜 帶葉,23.0,16.0,8.0,15.8,10001,19.2625,25.9,13.2,0.658333333333333,4.6,0.0,0.0,0.0,9.7,14.92,2014-01-02
512,永靖鄉,FB1,花椰菜 青梗,22.0,16.0,10.0,16.3,4108,20.9333333333333,26.1,17.6,0.916666666666667,6.2,2.0,3.1,0.9,4.2,10.86,2014-01-03
512,永靖鄉,FE1,冬瓜 白皮,11.0,9.0,7.0,9.0,1351,20.9333333333333,26.1,17.6,0.916666666666667,6.2,2.0,3.1,0.9,4.2,10.86,2014-01-03
512,永靖鄉,LA1,甘藍 初秋,12.0,8.0,4.0,8.2,27700,20.9333333333333,26.1,17.6,0.916666666666667,6.2,2.0,3.1,0.9,4.2,10.86,2014-01-03
512,永靖鄉,LC1,包心白 包白,14.0,10.0,7.0,10.0,18853,20.9333333333333,26.1,17.6,0.916666666666667,6.2,2.0,3.1,0.9,4.2,10.86,2014-01-03
512,永靖鄉,LG1,芹菜 青梗,40.0,30.0,20.0,30.0,5448,20.9333333333333,26.1,17.6,0.916666666666667,6.2,2.0,3.1,0.9,4.2,10.86,2014-01-03
512,永靖鄉,LK2,芥藍菜,27.0,19.0,10.0,18.8,464,20.9333333333333,26.1,17.6,0.916666666666667,6.2,2.0,3.1,0.9,4.2,10.86,2014-01-03
512,永靖鄉,SS1,大心菜 帶葉,25.0,16.0,8.0,16.1,5505,20.9333333333333,26.1,17.6,0.916666666666667,6.2,2.0,3.1,0.9,4.2,10.86,2014-01-03
512,永靖鄉,SW1,球莖甘藍,16.0,13.0,6.0,12.5,398,20.9333333333333,26.1,17.6,0.916666666666667,6.2,2.0,3.1,0.9,4.2,10.86,2014-01-03
512,永靖鄉,FB1,花椰菜 青梗,22.0,16.0,11.0,16.0,3473,18.3,21.6,14.3,1.88333333333333,8.4,0.0,0.0,0.0,2.9,9.51,2014-01-04
512,永靖鄉,FC2,胡瓜 改良種,21.0,14.0,9.0,14.0,912,18.3,21.6,14.3,1.88333333333333,8.4,0.0,0.0,0.0,2.9,9.51,2014-01-04
512,永靖鄉,LA1,甘藍 初秋,11.0,8.0,4.0,7.9,21467,18.3,21.6,14.3,1.88333333333333,8.4,0.0,0.0,0.0,2.9,9.51,2014-01-04
512,永靖鄉,LC1,包心白 包白,14.0,10.0,6.0,9.8,47796,18.3,21.6,14.3,1.88333333333333,8.4,0.0,0.0,0.0,2.9,9.51,2014-01-04
512,永靖鄉,LK2,芥藍菜,35.0,35.0,35.0,35.0,516,18.3,21.6,14.3,1.88333333333333,8.4,0.0,0.0,0.0,2.9,9.51,2014-01-04
512,永靖鄉,SF3,韭菜 韭菜花,66.0,66.0,66.0,66.0,9,18.3,21.6,14.3,1.88333333333333,8.4,0.0,0.0,0.0,2.9,9.51,2014-01-04
512,永靖鄉,SS1,大心菜 帶葉,28.0,17.0,10.0,16.5,9681,18.3,21.6,14.3,1.88333333333333,8.4,0.0,0.0,0.0,2.9,9.51,2014-01-04
512,永靖鄉,FB1,花椰菜 青梗,20.0,14.0,9.0,14.0,2995,16.3833333333333,21.3,13.0,0.816666666666667,6.3,0.0,0.0,0.0,2.5,7.19,2014-01-06
512,永靖鄉,LA1,甘藍 初秋,11.0,7.0,4.0,7.3,9521,16.3833333333333,21.3,13.0,0.816666666666667,6.3,0.0,0.0,0.0,2.5,7.19,2014-01-06
512,永靖鄉,LC1,包心白 包白,12.0,9.0,4.0,9.0,5440,16.3833333333333,21.3,13.0,0.816666666666667,6.3,0.0,0.0,0.0,2.5,7.19,2014-01-06
512,永靖鄉,LG1,芹菜 青梗,40.0,30.0,20.0,30.0,24372,16.3833333333333,21.3,13.0,0.816666666666667,6.3,0.0,0.0,0.0,2.5,7.19,2014-01-06
512,永靖鄉,LK2,芥藍菜,35.0,35.0,35.0,35.0,71,16.3833333333333,21.3,13.0,0.816666666666667,6.3,0.0,0.0,0.0,2.5,7.19,2014-01-06
512,永靖鄉,SF3,韭菜 韭菜花,63.0,63.0,63.0,63.0,12,16.3833333333333,21.3,13.0,0.816666666666667,6.3,0.0,0.0,0.0,2.5,7.19,2014-01-06
512,永靖鄉,SS1,大心菜 帶葉,25.0,16.0,9.0,16.0,7540,16.3833333333333,21.3,13.0,0.816666666666667,6.3,0.0,0.0,0.0,2.5,7.19,2014-01-06
512,永靖鄉,SW1,球莖甘藍,18.0,11.0,8.0,11.0,582,16.3833333333333,21.3,13.0,0.816666666666667,6.3,0.0,0.0,0.0,2.5,7.19,2014-01-06
512,永靖鄉,FB1,花椰菜 青梗,18.0,14.0,8.0,14.3,14735,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,FC2,胡瓜 改良種,22.0,15.0,10.0,15.0,473,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,FF1,絲瓜,18.0,18.0,18.0,18.0,531,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,FG2,苦瓜 青大米,45.0,32.0,22.0,31.9,117,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,FI2,茄子 麻荸茄,35.0,17.0,8.0,18.6,3092,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,FT1,南瓜 木瓜形,15.0,15.0,15.0,15.0,1288,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,LA1,甘藍 初秋,9.0,7.0,4.0,7.0,41911,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,LC1,包心白 包白,11.0,8.0,4.0,8.3,27842,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,LG1,芹菜 青梗,40.0,30.0,20.0,30.1,3756,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,LK2,芥藍菜,38.0,37.0,35.0,37.1,294,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,OX1,其他,60.0,58.0,50.0,58.0,387,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,SF3,韭菜 韭菜花,68.0,64.0,60.0,63.8,16,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,SS1,大心菜 帶葉,25.0,16.0,8.0,16.1,5935,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,SW1,球莖甘藍,18.0,16.0,10.0,15.9,960,17.6375,24.5,12.9,0.604166666666667,6.9,0.0,0.0,0.0,9.0,14.14,2014-01-07
512,永靖鄉,FB1,花椰菜 青梗,17.0,14.0,6.0,13.8,12483,18.3583333333333,25.4,14.0,1.55833333333333,9.1,0.0,0.0,0.0,5.4,11.23,2014-01-08
512,永靖鄉,FC2,胡瓜 改良種,22.0,15.0,10.0,15.0,3615,18.3583333333333,25.4,14.0,1.55833333333333,9.1,0.0,0.0,0.0,5.4,11.23,2014-01-08
512,永靖鄉,FF1,絲瓜,18.0,18.0,18.0,18.0,700,18.3583333333333,25.4,14.0,1.55833333333333,9.1,0.0,0.0,0.0,5.4,11.23,2014-01-08
