name,capacity(G),cache,speed,warranty,price
Toshiba 1TB (DT01ACA100),1000,32,7200,三,1599
Toshiba 2TB (DT01ACA200),2000,64,7200,三,2189
Toshiba 3TB (DT01ACA300),3000,64,7200,三,2989
Toshiba 4TB (MD04ACA400),4000,128,7200,三,3790
Toshiba 6TB (MD04ACA600),6000,128,7200,三,6450
Seagate 500G (ST500DM009),500,32,7200,三,1570
Seagate 1TB (ST1000DM010),1000,64,7200,三,1640
Seagate 2TB (ST2000DM006),2000,64,7200,三,2189
Seagate 3TB (ST3000DM008),3000,64,7200,三,3090
Seagate 4TB (ST4000DM004),4000,256,5900,三,3890
Seagate 6TB (ST6000DM004),6000,256,7200,五,8899
Seagate 8TB (ST8000DM004),8000,256,7200,五,11290
Seagate 8TB (ST8000AS0002),8000,128,5900,三,7899
Seagate 1TB (ST1000DX002),1000,64,7200,五,2490
Seagate 2TB (ST2000DX002),2000,64,7200,五,3890
WD 1TB (10EZEX),1000,64,7200,三,1640
WD 2TB (20EZRZ),2000,64,5400,三,2230
WD 4TB (40EZRZ),4000,64,5400,三,3890
WD 6TB (60EZRZ),6000,64,5400,三,6790
WD 500G (5003AZEX),500,64,7200,五,2199
WD 1TB (1003FZEX),1000,64,7200,五,2470
WD 2TB (2003FZEX),2000,64,7200,五,4090
WD 4TB (4004FZWX),4000,128,7200,五,6799
WD 6TB (6002FZWX),6000,128,7200,五,9388
Toshiba 1TB (DT01ABA100V),1000,32,5700,三,1699
Toshiba 2TB (DT01ABA200V),2000,32,5700,三,2389
Toshiba 3TB (DT01ABA300V),3000,32,5940,三,3189
Toshiba 4TB (MD04ABA400V),4000,128,5400,三,4199
Toshiba 4TB(HDWQ140AZSTA),4000,128,7200,三,4899
Toshiba 6TB(HDWN160AZSTA),6000,128,7200,三,7699
Toshiba 8TB(HDWN180AZSTA),8000,128,7200,三,9699
Toshiba 2TB (MC04ACA200E),2000,128,7200,三,3588
Toshiba 3TB (MG03ACA300),3000,64,7200,五,3700
Toshiba 1TB (MG03ACA100),1000,64,7200,五,2788
Toshiba 2TB (MG04ACA200E),2000,128,7200,五,4288
Toshiba 3TB (MG04ACA300E),3000,128,7200,五,5488
Toshiba 4TB (MG04ACA400E),4000,128,7200,五,6188
Seagate 1TB (ST1000VX005),1000,64,5900,三,1750
Seagate 2TB (ST2000VX008),2000,64,5900,三,2490
