,cache,capacity(G),name,price,speed,warranty
0,32,1000,Toshiba 1TB (DT01ACA100),1599,7200,3
1,64,2000,Toshiba 2TB (DT01ACA200),2189,7200,3
2,64,3000,Toshiba 3TB (DT01ACA300),2989,7200,3
3,128,4000,Toshiba 4TB (MD04ACA400),3790,7200,3
4,128,6000,Toshiba 6TB (MD04ACA600),6450,7200,3
5,32,500,Seagate 500G (ST500DM009),1570,7200,3
6,64,1000,Seagate 1TB (ST1000DM010),1640,7200,3
7,64,2000,Seagate 2TB (ST2000DM006),2189,7200,3
8,64,3000,Seagate 3TB (ST3000DM008),3090,7200,3
9,256,4000,Seagate 4TB (ST4000DM004),3890,5900,3
10,256,6000,Seagate 6TB (ST6000DM004),8899,7200,5
11,256,8000,Seagate 8TB (ST8000DM004),11290,7200,5
12,128,8000,Seagate 8TB (ST8000AS0002),7899,5900,3
13,64,1000,Seagate 1TB (ST1000DX002),2490,7200,5
14,64,2000,Seagate 2TB (ST2000DX002),3890,7200,5
15,64,1000,WD 1TB (10EZEX),1640,7200,3
16,64,2000,WD 2TB (20EZRZ),2230,5400,3
17,64,4000,WD 4TB (40EZRZ),3890,5400,3
18,64,6000,WD 6TB (60EZRZ),6790,5400,3
19,64,500,WD 500G (5003AZEX),2199,7200,5
20,64,1000,WD 1TB (1003FZEX),2470,7200,5
21,64,2000,WD 2TB (2003FZEX),4090,7200,5
22,128,4000,WD 4TB (4004FZWX),6799,7200,5
23,128,6000,WD 6TB (6002FZWX),9388,7200,5
24,32,1000,Toshiba 1TB (DT01ABA100V),1699,5700,3
25,32,2000,Toshiba 2TB (DT01ABA200V),2389,5700,3
26,32,3000,Toshiba 3TB (DT01ABA300V),3189,5940,3
27,128,4000,Toshiba 4TB (MD04ABA400V),4199,5400,3
28,128,4000,Toshiba 4TB(HDWQ140AZSTA),4899,7200,3
29,128,6000,Toshiba 6TB(HDWN160AZSTA),7699,7200,3
30,128,8000,Toshiba 8TB(HDWN180AZSTA),9699,7200,3
